date_time,amount,txn_type,balance_after
2024-01-01 09:00:00,1000,CREDIT,10000
2024-01-01 10:30:00,-500,DEBIT,9500
2024-01-01 14:20:00,-200,DEBIT,9300
2024-01-02 08:15:00,-300,DEBIT,9000
2024-01-02 12:45:00,-150,DEBIT,8850
2024-01-02 18:30:00,-400,DEBIT,8450
2024-01-03 09:10:00,-250,DEBIT,8200
2024-01-03 13:20:00,-180,DEBIT,8020
2024-01-03 19:45:00,-320,DEBIT,7700
2024-01-04 11:00:00,-290,DEBIT,7410
2024-01-04 15:30:00,-210,DEBIT,7200
2024-01-05 08:45:00,-350,DEBIT,6850
2024-01-05 16:20:00,-190,DEBIT,6660
2024-01-06 10:15:00,-280,DEBIT,6380
2024-01-06 14:40:00,-160,DEBIT,6220
2024-01-07 09:30:00,-310,DEBIT,5910
2024-01-07 17:25:00,-240,DEBIT,5670
